date,semaine_cdc,regroupement,variant,proportion
2025-01-26,05,XEC.11,3,2.0134228
2025-01-26,05,XEC.13,0,0
2025-01-26,05,XEC.14,2,1.3422819
2025-01-26,05,XEC.16,1,0.6711409
2025-01-26,05,XEC.2,5,3.3557047
2025-01-26,05,XEC.2.1,1,0.6711409
2025-01-26,05,XEC.2.2,1,0.6711409
2025-01-26,05,XEC.4,0,0
2025-01-26,05,XEC.6,0,0
2025-01-26,05,XEC.8,3,2.0134228
2025-01-26,05,XEC.9,5,3.3557047
2025-01-26,05,XEK,0,0
2025-01-26,05,XEK.1,1,0.6711409
2025-01-26,05,XEM,1,0.6711409
2025-02-09,07,Autres,4,3.1496063
2025-02-09,07,JN.1.16.1,0,0
2025-02-09,07,KP.3.1.1,3,2.3622047
2025-02-09,07,KP.3.3.5,2,1.5748031
2025-02-09,07,LB.1.3.1,2,1.5748031
2025-02-09,07,LF.7,27,21.259843
2025-02-09,07,LF.7.1,1,0.7874016
2025-02-09,07,LF.7.2.1,0,0
2025-02-09,07,LP.8.1,0,0
2025-02-09,07,LP.8.1.1,3,2.3622047
2025-02-09,07,LP.8.1.2,0,0
2025-02-09,07,MC.1,6,4.7244094
2025-02-09,07,MC.1.2,12,9.4488189
2025-02-09,07,MC.1.3.1,1,0.7874016
2025-02-09,07,MC.10.1,7,5.511811
2025-02-09,07,MC.10.2,0,0
2025-02-09,07,MC.11,1,0.7874016
2025-02-09,07,MC.13,0,0
2025-02-09,07,MC.13.2,2,1.5748031
2025-02-09,07,MC.16,1,0.7874016
2025-02-09,07,MC.19,0,0
2025-02-09,07,MC.19.1,0,0
2025-02-09,07,MC.2,0,0
2025-02-09,07,MC.21.1,0,0
2025-02-09,07,MC.28.1,0,0
2025-02-09,07,MC.4,0,0
2025-02-09,07,MC.6,0,0
2025-02-09,07,MC.9,0,0
2025-02-09,07,MV.1,0,0
2025-02-09,07,NF.1,0,0
2025-02-09,07,NL.2,0,0
2025-02-09,07,NL.3,2,1.5748031
2025-02-09,07,NL.4,1,0.7874016
2025-02-09,07,XEC,28,22.047244
2025-02-09,07,XEC.1,2,1.5748031
2025-02-09,07,XEC.11,9,7.0866142
2025-02-09,07,XEC.13,0,0
2025-02-09,07,XEC.14,0,0
2025-02-09,07,XEC.16,1,0.7874016
2025-02-09,07,XEC.2,2,1.5748031
2025-02-09,07,XEC.2.1,0,0
2025-02-09,07,XEC.2.2,1,0.7874016
2025-02-09,07,XEC.4,1,0.7874016
