date,site,nom_site,cible,valeur,unite,fraction,drapeau_qualite
2021-05-09,MMN,Montréal Nord,covN2,7.253152359496831,gcML,solid,0
2021-05-09,MMN,Montréal Nord,nPPMoV,157.3972827616638,gcML,solid,0
2021-05-09,MMS,Montréal Sud,covN1,3,gcML,solid,0
2021-05-09,MMS,Montréal Sud,covN2,12.20240694395718,gcML,solid,0
2021-05-09,MMS,Montréal Sud,nPPMoV,150.3316795933314,gcML,solid,0
2021-05-13,MMN,Montréal Nord,covN1,16.96147996498396,gcML,solid,0
2021-05-13,MMN,Montréal Nord,covN2,23.27313854396672,gcML,solid,0
2021-05-13,MMN,Montréal Nord,nPPMoV,237.53487196459471,gcML,solid,0
2021-05-13,MMS,Montréal Sud,covN1,6.702665698206865,gcML,solid,0
2021-05-13,MMS,Montréal Sud,covN2,7.979760878655982,gcML,solid,0
2021-05-13,MMS,Montréal Sud,nPPMoV,232.9145691980448,gcML,solid,0
2021-05-16,MMN,Montréal Nord,covN1,14.4936616051725,gcML,solid,0
2021-05-16,MMN,Montréal Nord,covN2,15.30399804870654,gcML,solid,0
2021-05-16,MMN,Montréal Nord,nPPMoV,229.8484482442709,gcML,solid,0
2021-05-16,MMS,Montréal Sud,covN1,7.916738966490253,gcML,solid,0
2021-05-16,MMS,Montréal Sud,covN2,13.36845784896559,gcML,solid,0
2021-05-16,MMS,Montréal Sud,nPPMoV,203.8943446124432,gcML,solid,0
2021-05-20,MMN,Montréal Nord,covN1,12.24624821147679,gcML,solid,0
2021-05-20,MMN,Montréal Nord,covN2,29.1295269964962,gcML,solid,0
2021-05-20,MMN,Montréal Nord,nPPMoV,191.4439155429532,gcML,solid,0
2021-05-20,MMS,Montréal Sud,covN1,4.740568352154773,gcML,solid,0
2021-05-20,MMS,Montréal Sud,covN2,6.904878551682913,gcML,solid,0
2021-05-20,MMS,Montréal Sud,nPPMoV,387.9973951649617,gcML,solid,0
2021-05-23,MMN,Montréal Nord,covN1,14.43442129641823,gcML,solid,0
2021-05-23,MMN,Montréal Nord,covN2,20.7029579510457,gcML,solid,0
2021-05-23,MMN,Montréal Nord,nPPMoV,220.5682062192313,gcML,solid,0
2021-05-23,MMS,Montréal Sud,covN1,4.160871237472721,gcML,solid,0
2021-05-23,MMS,Montréal Sud,covN2,11.66094213220753,gcML,solid,0
2021-05-23,MMS,Montréal Sud,nPPMoV,148.7327334441624,gcML,solid,0
